date,close
2019-04-30,4735.740
2019-05-06,4475.770
2019-05-07,4534.710
2019-05-08,4471.700
2019-05-09,4400.120
2019-05-10,4521.110
2019-05-13,4480.790
2019-05-14,4455.790
2019-05-15,4535.730
2019-05-16,4556.430
2019-05-17,4441.820
2019-05-20,4406.030
2019-05-21,4490.170
2019-05-22,4460.100
2019-05-23,4403.780
2019-05-24,4399.020
2019-05-27,4449.320
2019-05-28,4489.730
2019-05-29,4477.010
2019-05-30,4468.900
2019-05-31,4469.510
2019-06-03,4425.710
2019-06-04,4377.470
2019-06-05,4358.390
2019-06-06,4303.800
2019-06-10,4341.990
2019-06-11,4460.800
2019-06-12,4417.000
2019-06-13,4402.200
2019-06-14,4357.240
2019-06-17,4355.130
2019-06-18,4350.510
2019-06-19,4373.750
2019-06-20,4446.140
2019-06-21,4449.950
2019-06-24,4465.890
2019-06-25,4413.820
2019-06-26,4416.460
2019-06-27,4438.920
2019-06-28,4406.910
2019-07-01,4486.770
2019-07-02,4511.870
2019-07-03,4501.220
2019-07-04,4491.010
2019-07-05,4508.120
2019-07-08,4391.990
2019-07-09,4404.030
2019-07-10,4367.020
2019-07-11,4360.970
2019-07-12,4374.950
2019-07-15,4400.410
2019-07-16,4399.200
2019-07-17,4394.820
2019-07-18,4330.780
2019-07-19,4356.660
2019-07-22,4303.890
2019-07-23,4324.950
2019-07-24,4348.960
2019-07-25,4361.800
2019-07-26,4372.990
2019-07-29,4368.120
2019-07-30,4393.860
2019-07-31,4350.950
2019-08-01,4320.210
2019-08-02,4253.140
2019-08-05,4184.160
2019-08-06,4109.810
2019-08-07,4099.140
2019-08-08,4129.200
2019-08-09,4091.690
2019-08-12,4151.970
2019-08-13,4117.790
2019-08-14,4138.500
2019-08-15,4146.780
2019-08-16,4151.950
2019-08-19,4232.760
2019-08-20,4230.380
2019-08-21,4222.680
2019-08-22,4220.400
2019-08-23,4229.050
2019-08-26,4181.740
2019-08-27,4236.440
2019-08-28,4240.370
2019-08-29,4219.560
2019-08-30,4196.770
2019-09-02,4257.870
2019-09-03,4265.150
2019-09-04,4319.400
2019-09-05,4343.920
2019-09-06,4373.760
2019-09-09,4401.270
2019-09-10,4381.250
2019-09-11,4365.520
2019-09-12,4393.290
2019-09-16,4393.730
2019-09-17,4320.940
2019-09-18,4346.590
2019-09-19,4355.530
2019-09-20,4367.620
2019-09-23,4310.000
2019-09-24,4312.850
2019-09-25,4255.690
2019-09-26,4227.690
2019-09-27,4217.000
2019-09-30,4193.890
2019-10-08,4225.820
2019-10-09,4262.860
2019-10-10,4287.320
2019-10-11,4312.580
2019-10-14,4360.780
2019-10-15,4330.190
2019-10-16,4312.490
2019-10-17,4298.540
2019-10-18,4241.190
2019-10-21,4257.180
2019-10-22,4276.560
2019-10-23,4258.830
2019-10-24,4265.680
2019-10-25,4289.400
2019-10-28,4311.230
2019-10-29,4282.060
2019-10-30,4246.290
2019-10-31,4220.220
2019-11-01,4273.980
2019-11-04,4283.270
2019-11-05,4301.950
